Date,Open,High,Low,Close,Adj Close,Volume
2019-05-17,66.000000,66.449997,65.400002,65.550003,63.553669,18126891
2019-05-20,65.500000,65.650002,65.000000,65.199997,63.214317,15197013
2019-05-21,65.099998,65.550003,65.000000,65.099998,63.117363,13357735
2019-05-22,65.500000,65.500000,65.150002,65.300003,63.311283,6450895
2019-05-23,65.150002,65.349998,64.900002,65.250000,63.262806,16422925
2019-05-24,65.500000,65.650002,65.300003,65.400002,63.408234,11096896
2019-05-27,65.500000,65.650002,65.349998,65.449997,63.456711,8537156
2019-05-28,65.150002,65.500000,65.150002,65.449997,63.456711,7627167
2019-05-29,65.000000,65.400002,64.849998,64.849998,62.874985,12597856
2019-05-30,64.800003,65.000000,64.449997,64.500000,62.535641,17349231
2019-05-31,64.500000,64.650002,64.000000,64.050003,62.099346,16537962
2019-06-03,64.000000,64.099998,63.150002,63.299999,61.372185,26324622
2019-06-04,63.799999,63.950001,63.500000,63.700001,61.760006,15274817
2019-06-05,64.500000,64.550003,64.050003,64.250000,62.293255,14372043
2019-06-06,64.000000,64.300003,63.849998,64.300003,62.341736,8995785
2019-06-10,64.500000,65.250000,64.500000,65.250000,63.262806,11741882
2019-06-11,65.199997,65.550003,65.000000,65.449997,63.456711,10031271
2019-06-12,65.199997,65.199997,64.500000,64.699997,62.729549,11702927
2019-06-13,64.400002,64.500000,63.700001,64.300003,62.341736,21905440
2019-06-14,64.050003,64.300003,63.650002,63.799999,61.856956,25046301
2019-06-17,64.300003,64.650002,63.849998,64.199997,62.244774,18567908
2019-06-18,64.000000,64.400002,63.900002,64.050003,62.099346,12044612
2019-06-19,64.949997,65.199997,64.750000,65.150002,63.165848,16606390
2019-06-20,65.000000,65.400002,65.000000,65.199997,63.214317,11913135
2019-06-21,64.949997,64.949997,64.349998,64.650002,62.681076,17137080
2019-06-24,64.300003,64.750000,64.199997,64.349998,62.390205,11437437
2019-06-25,64.349998,64.550003,64.000000,64.099998,62.147820,11193149
2019-06-26,64.500000,64.500000,64.000000,64.150002,62.196301,7975283
2019-06-27,64.599998,65.050003,64.199997,65.050003,63.068893,11936527
2019-06-28,65.050003,65.050003,64.599998,64.800003,62.826504,8752871
2019-07-02,65.349998,65.800003,65.250000,65.349998,63.359753,17757714
2019-07-03,65.500000,65.550003,65.250000,65.500000,63.505188,9840078
2019-07-04,65.699997,65.699997,65.150002,65.599998,63.602139,10982425
2019-07-05,65.400002,65.699997,65.400002,65.449997,63.456711,7539388
2019-07-08,65.199997,65.400002,64.699997,65.000000,63.020412,15968478
2019-07-09,65.300003,65.300003,64.849998,64.900002,62.923462,9333008
2019-07-10,65.050003,65.400002,64.750000,64.900002,62.923462,9750805
2019-07-11,65.000000,65.500000,65.000000,65.199997,63.214317,7178970
2019-07-12,65.199997,65.349998,65.099998,65.199997,63.214317,5833437
2019-07-15,65.000000,65.150002,64.650002,65.000000,63.020412,10767909
2019-07-16,65.099998,65.300003,65.000000,65.099998,63.117363,7113401
2019-07-17,65.000000,65.000000,64.800003,65.000000,63.020412,6980029
2019-07-18,64.750000,64.900002,64.599998,64.750000,62.778027,9325515
2019-07-19,64.949997,65.199997,64.800003,65.050003,63.068893,8481864
2019-07-22,64.849998,64.849998,64.449997,64.449997,62.487164,11874724
2019-07-23,64.550003,64.900002,64.500000,64.750000,62.778027,7835690
2019-07-24,65.099998,65.400002,64.449997,64.699997,62.729549,11167792
2019-07-25,64.449997,64.699997,64.400002,64.650002,62.681076,12770248
2019-07-26,64.199997,64.300003,63.900002,64.250000,62.293255,17063658
2019-07-29,64.050003,64.250000,63.799999,63.900002,61.953915,19884602
2019-07-30,63.900002,64.000000,63.750000,63.799999,61.856956,15034042
2019-07-31,63.599998,63.599998,63.299999,63.349998,61.420666,11880623
2019-08-01,62.950001,63.250000,62.950001,63.049999,61.129803,21704350
2019-08-02,62.500000,62.700001,62.150002,62.150002,60.257214,37180216
2019-08-05,61.500000,61.599998,61.000000,61.000000,59.142235,50137598
2019-08-06,59.799999,60.500000,59.049999,60.299999,58.463551,57576664
2019-08-07,60.000000,60.349998,59.849998,60.200001,58.366596,28095015
2019-08-08,60.099998,60.650002,60.049999,60.200001,58.366596,21726063
2019-08-09,60.200001,60.400002,60.000000,60.000000,58.172688,24048992
2019-08-12,59.400002,59.500000,59.000000,59.049999,57.251617,41863436
2019-08-13,58.099998,58.200001,57.599998,57.700001,55.942738,49316383
2019-08-14,58.500000,58.549999,58.000000,58.000000,56.233601,35567046
2019-08-15,56.200001,56.849998,55.799999,56.799999,55.822598,49571041
2019-08-16,56.349998,56.549999,56.049999,56.500000,55.527760,47862280
2019-08-19,56.950001,58.099998,56.950001,57.950001,56.952808,36632571
2019-08-20,57.299999,57.500000,57.000000,57.400002,56.412277,27527462
2019-08-21,57.099998,57.299999,57.000000,57.200001,56.215717,22636964
2019-08-22,57.000000,57.099998,56.799999,56.849998,55.871735,15989364
2019-08-23,57.000000,57.349998,56.849998,57.099998,56.117435,11618984
2019-08-26,55.799999,56.200001,55.299999,56.200001,55.232925,38545207
2019-08-27,56.200001,56.349998,55.799999,56.049999,55.085503,20967181
2019-08-28,56.000000,56.200001,55.799999,56.049999,55.085503,15584955
2019-08-29,55.950001,56.150002,55.650002,56.150002,55.183784,20362955
2019-08-30,56.450001,56.599998,55.950001,56.299999,55.331203,20440035
2019-09-02,56.150002,56.200001,55.700001,56.049999,55.085503,18184381
2019-09-03,55.950001,56.349998,55.900002,55.950001,54.987225,12569096
2019-09-04,56.000000,58.400002,56.000000,57.900002,56.903671,47683204
2019-09-05,57.700001,58.099998,57.000000,57.500000,56.510555,29114189
2019-09-06,58.049999,58.400002,57.750000,57.900002,56.903671,33965313
2019-09-09,58.000000,58.450001,58.000000,58.200001,57.198509,22692462
2019-09-10,58.900002,59.299999,58.700001,58.900002,57.886463,28111243
2019-09-11,59.599998,60.750000,59.549999,60.750000,59.704628,49652434
2019-09-12,60.950001,60.950001,59.849998,60.250000,59.213230,16448642
2019-09-13,60.500000,60.750000,60.200001,60.700001,59.655487,11716206
2019-09-16,61.000000,61.000000,60.500000,60.599998,59.557205,20357733
2019-09-17,60.150002,60.200001,59.400002,59.750000,58.721836,15169317
2019-09-18,59.750000,60.049999,59.700001,59.849998,58.820114,7295510
2019-09-19,59.700001,60.000000,59.099998,59.700001,58.672695,15575777
2019-09-20,60.000000,60.400002,59.900002,60.000000,58.967533,13068832
2019-09-23,59.799999,60.500000,59.450001,59.500000,58.476135,14643542
2019-09-24,59.750000,60.299999,59.750000,59.950001,58.918396,12563525
2019-09-25,59.750000,60.000000,59.299999,59.400002,58.377861,11934915
2019-09-26,59.299999,59.900002,59.299999,59.750000,58.721836,10879188
2019-09-27,59.849998,60.000000,59.700001,59.900002,58.869255,12205967
2019-09-30,59.799999,60.500000,59.750000,60.400002,59.360649,16966501
2019-10-02,59.549999,59.950001,59.450001,59.650002,58.623558,20900044
2019-10-03,58.450001,59.150002,58.400002,58.849998,57.837318,38437224
2019-10-04,58.849998,59.000000,58.000000,58.250000,57.247646,26439403
2019-10-08,58.049999,59.150002,58.000000,58.450001,57.444206,19452356
2019-10-09,57.700001,58.299999,57.599998,58.099998,57.100227,37955195
2019-10-10,57.099998,57.900002,56.799999,57.450001,57.233013,25985179
2019-10-11,58.000000,59.150002,57.799999,58.950001,58.727348,31732093
2019-10-14,59.849998,60.349998,59.750000,59.950001,59.723572,37686670
2019-10-15,60.000000,60.150002,59.549999,59.950001,59.723572,17282269
2019-10-16,60.150002,60.250000,59.849998,60.099998,59.873001,16761532
2019-10-17,60.650002,61.200001,60.599998,60.900002,60.669983,22561675
2019-10-18,61.000000,61.200001,60.599998,60.900002,60.669983,15942797
2019-10-21,60.650002,61.299999,60.650002,61.150002,60.919041,15089025
2019-10-22,61.400002,61.599998,61.150002,61.400002,61.168095,14219411
2019-10-23,61.500000,61.599998,60.900002,61.200001,60.968849,13635562
2019-10-24,61.549999,61.950001,61.400002,61.849998,61.616394,15903442
2019-10-25,61.799999,61.950001,61.549999,61.650002,61.417152,10421912
2019-10-28,61.700001,62.299999,59.799999,60.250000,60.022438,52413557
2019-10-29,59.400002,59.599998,59.150002,59.450001,59.225460,32531540
2019-10-30,59.299999,59.500000,59.200001,59.200001,58.976406,10656725
2019-10-31,59.299999,60.000000,59.250000,59.500000,59.275269,13088013
2019-11-01,58.900002,59.750000,58.900002,59.599998,59.374889,10663691
2019-11-04,59.650002,60.150002,59.650002,60.099998,59.873001,21465219
2019-11-05,60.299999,60.400002,59.950001,60.099998,59.873001,14843111
2019-11-06,60.099998,60.500000,60.000000,60.349998,60.122059,10842803
2019-11-07,60.099998,60.450001,60.000000,60.200001,59.972626,14258012
2019-11-08,60.049999,60.200001,59.900002,60.049999,59.823193,11412179
